raceId,year,round,circuitId,name,date,time,url
1001,2019,4,Baku City Circuit,Azerbaijan Grand Prix,2019-04-28,06:00:00,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix
1002,2019,5,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019-05-12,06:00:00,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix
1003,2019,6,Circuit de Monaco,Monaco Grand Prix,2019-05-26,06:00:00,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix
1004,2019,7,Circuit Gilles Villeneuve,Canadian Grand Prix,2019-06-09,06:00:00,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix
1005,2019,8,Circuit Paul Ricard,French Grand Prix,2019-06-23,06:00:00,http://en.wikipedia.org/wiki/2019_French_Grand_Prix
1006,2019,9,Red Bull Ring,Austrian Grand Prix,2019-06-30,06:00:00,http://en.wikipedia.org/wiki/2019_Austrian_Grand_Prix
1007,2019,10,Silverstone Circuit,British Grand Prix,2019-07-14,06:00:00,http://en.wikipedia.org/wiki/2019_British_Grand_Prix
1008,2019,11,Hockenheimring,German Grand Prix,2019-07-28,06:00:00,http://en.wikipedia.org/wiki/2019_German_Grand_Prix
1009,2019,12,Hungaroring,Hungarian Grand Prix,2019-08-04,06:00:00,http://en.wikipedia.org/wiki/2019_Hungarian_Grand_Prix
1010,2019,13,Circuit de Spa-Francorchamps,Belgian Grand Prix,2019-09-01,06:00:00,http://en.wikipedia.org/wiki/2019_Belgian_Grand_Prix
1011,2019,14,Autodromo Nazionale di Monza,Italian Grand Prix,2019-09-08,06:00:00,http://en.wikipedia.org/wiki/2019_Italian_Grand_Prix
1012,2019,15,Marina Bay Street Circuit,Singapore Grand Prix,2019-09-22,06:00:00,http://en.wikipedia.org/wiki/2019_Singapore_Grand_Prix
1013,2019,16,Sochi Autodrom,Russian Grand Prix,2019-09-29,06:00:00,http://en.wikipedia.org/wiki/2019_Russian_Grand_Prix
1014,2019,17,Suzuka Circuit,Japanese Grand Prix,2019-10-13,06:00:00,http://en.wikipedia.org/wiki/2019_Japanese_Grand_Prix
1015,2019,18,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2019-10-27,06:00:00,http://en.wikipedia.org/wiki/2019_Mexican_Grand_Prix
1016,2019,19,Circuit of the Americas,United States Grand Prix,2019-11-03,06:00:00,http://en.wikipedia.org/wiki/2019_United_States_Grand_Prix
1017,2019,20,Autódromo José Carlos Pace,Brazilian Grand Prix,2019-11-17,06:00:00,http://en.wikipedia.org/wiki/2019_Brazilian_Grand_Prix
1018,2019,21,Yas Marina Circuit,Abu Dhabi Grand Prix,2019-12-01,06:00:00,http://en.wikipedia.org/wiki/2019_Abu_Dhabi_Grand_Prix
1019,2020,1,Red Bull Ring,Austrian Grand Prix,2020-07-05,06:00:00,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix
1020,2020,2,Red Bull Ring,Styrian Grand Prix,2020-07-12,06:00:00,http://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix
1021,2020,3,Hungaroring,Hungarian Grand Prix,2020-07-19,06:00:00,http://en.wikipedia.org/wiki/2020_Hungarian_Grand_Prix
1022,2020,4,Silverstone Circuit,British Grand Prix,2020-08-02,06:00:00,http://en.wikipedia.org/wiki/2020_British_Grand_Prix
1023,2020,5,Silverstone Circuit,70th Anniversary Grand Prix,2020-08-09,06:00:00,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix
1024,2020,6,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2020-08-16,06:00:00,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix
1025,2020,7,Circuit de Spa-Francorchamps,Belgian Grand Prix,2020-08-30,06:00:00,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix
1026,2020,8,Autodromo Nazionale di Monza,Italian Grand Prix,2020-09-06,06:00:00,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix
1027,2020,9,Autodromo Internazionale del Mugello,Tuscan Grand Prix,2020-09-13,06:00:00,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix
1028,2020,10,Sochi Autodrom,Russian Grand Prix,2020-09-27,06:00:00,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix
1029,2020,11,Nürburgring,Eifel Grand Prix,2020-10-11,06:00:00,http://en.wikipedia.org/wiki/2020_Eifel_Grand_Prix
1030,2020,12,Autódromo Internacional do Algarve,Portuguese Grand Prix,2020-10-25,06:00:00,http://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix
1031,2020,13,Autodromo Enzo e Dino Ferrari,Emilia Romagna Grand Prix,2020-11-01,06:00:00,http://en.wikipedia.org/wiki/2020_Emilia_Romagna_Grand_Prix
1032,2020,14,Istanbul Park,Turkish Grand Prix,2020-11-15,06:00:00,http://en.wikipedia.org/wiki/2020_Turkish_Grand_Prix
1033,2020,15,Bahrain International Circuit,Bahrain Grand Prix,2020-11-29,06:00:00,http://en.wikipedia.org/wiki/2020_Bahrain_Grand_Prix
1034,2020,16,Bahrain International Circuit,Sakhir Grand Prix,2020-12-06,06:00:00,http://en.wikipedia.org/wiki/2020_Sakhir_Grand_Prix
1035,2020,17,Yas Marina Circuit,Abu Dhabi Grand Prix,2020-12-13,06:00:00,http://en.wikipedia.org/wiki/2020_Abu_Dhabi_Grand_Prix
1036,2021,1,Bahrain International Circuit,Bahrain Grand Prix,2021-03-28,06:00:00,http://en.wikipedia.org/wiki/2021_Bahrain_Grand_Prix
1037,2021,2,Autodromo Enzo e Dino Ferrari,Emilia Romagna Grand Prix,2021-04-18,06:00:00,http://en.wikipedia.org/wiki/2021_Emilia_Romagna_Grand_Prix
1038,2021,3,Autódromo Internacional do Algarve,Portuguese Grand Prix,2021-05-02,06:00:00,http://en.wikipedia.org/wiki/2021_Portuguese_Grand_Prix
1039,2021,4,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2021-05-09,06:00:00,http://en.wikipedia.org/wiki/2021_Spanish_Grand_Prix
1040,2021,5,Circuit de Monaco,Monaco Grand Prix,2021-05-23,06:00:00,http://en.wikipedia.org/wiki/2021_Monaco_Grand_Prix
1041,2021,6,Baku City Circuit,Azerbaijan Grand Prix,2021-06-06,06:00:00,http://en.wikipedia.org/wiki/2021_Azerbaijan_Grand_Prix
1042,2021,7,Circuit Paul Ricard,French Grand Prix,2021-06-20,06:00:00,http://en.wikipedia.org/wiki/2021_French_Grand_Prix
1043,2021,8,Red Bull Ring,Styrian Grand Prix,2021-06-27,06:00:00,http://en.wikipedia.org/wiki/2021_Styrian_Grand_Prix
1044,2021,9,Red Bull Ring,Austrian Grand Prix,2021-07-04,06:00:00,http://en.wikipedia.org/wiki/2021_Austrian_Grand_Prix
1045,2021,10,Silverstone Circuit,British Grand Prix,2021-07-18,06:00:00,http://en.wikipedia.org/wiki/2021_British_Grand_Prix
1046,2021,11,Hungaroring,Hungarian Grand Prix,2021-08-01,06:00:00,http://en.wikipedia.org/wiki/2021_Hungarian_Grand_Prix
1047,2021,12,Circuit de Spa-Francorchamps,Belgian Grand Prix,2021-08-29,06:00:00,http://en.wikipedia.org/wiki/2021_Belgian_Grand_Prix
1048,2021,13,Circuit Park Zandvoort,Dutch Grand Prix,2021-09-05,06:00:00,http://en.wikipedia.org/wiki/2021_Dutch_Grand_Prix
1049,2021,14,Autodromo Nazionale di Monza,Italian Grand Prix,2021-09-12,06:00:00,http://en.wikipedia.org/wiki/2021_Italian_Grand_Prix
1050,2021,15,Sochi Autodrom,Russian Grand Prix,2021-09-26,06:00:00,http://en.wikipedia.org/wiki/2021_Russian_Grand_Prix
1051,2021,16,Istanbul Park,Turkish Grand Prix,2021-10-10,06:00:00,http://en.wikipedia.org/wiki/2021_Turkish_Grand_Prix
1052,2021,17,Circuit of the Americas,United States Grand Prix,2021-10-24,06:00:00,http://en.wikipedia.org/wiki/2021_United_States_Grand_Prix
1053,2021,18,Autódromo Hermanos Rodríguez,Mexico City Grand Prix,2021-11-07,06:00:00,http://en.wikipedia.org/wiki/2021_Mexican_Grand_Prix
1054,2021,19,Autódromo José Carlos Pace,São Paulo Grand Prix,2021-11-14,06:00:00,http://en.wikipedia.org/wiki/2021_S%C3%A3o_Paulo_Grand_Prix
1055,2021,20,Losail International Circuit,Qatar Grand Prix,2021-11-21,06:00:00,http://en.wikipedia.org/wiki/2021_Qatar_Grand_Prix
1056,2021,21,Jeddah Corniche Circuit,Saudi Arabian Grand Prix,2021-12-05,06:00:00,http://en.wikipedia.org/wiki/2021_Saudi_Arabian_Grand_Prix
1057,2021,22,Yas Marina Circuit,Abu Dhabi Grand Prix,2021-12-12,06:00:00,http://en.wikipedia.org/wiki/2021_Abu_Dhabi_Grand_Prix
1058,2022,1,Bahrain International Circuit,Bahrain Grand Prix,2022-03-20,06:00:00,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix
1059,2022,2,Jeddah Corniche Circuit,Saudi Arabian Grand Prix,2022-03-27,06:00:00,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix
1060,2022,3,Albert Park Grand Prix Circuit,Australian Grand Prix,2022-04-10,06:00:00,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix
1061,2022,4,Autodromo Enzo e Dino Ferrari,Emilia Romagna Grand Prix,2022-04-24,06:00:00,http://en.wikipedia.org/wiki/2022_Emilia_Romagna_Grand_Prix
1062,2022,5,Miami International Autodrome,Miami Grand Prix,2022-05-08,06:00:00,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix
1063,2022,6,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2022-05-22,06:00:00,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix
1064,2022,7,Circuit de Monaco,Monaco Grand Prix,2022-05-29,06:00:00,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix
1065,2022,8,Baku City Circuit,Azerbaijan Grand Prix,2022-06-12,06:00:00,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix
1066,2022,9,Circuit Gilles Villeneuve,Canadian Grand Prix,2022-06-19,06:00:00,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix
1067,2022,10,Silverstone Circuit,British Grand Prix,2022-07-03,06:00:00,http://en.wikipedia.org/wiki/2022_British_Grand_Prix
1068,2022,11,Red Bull Ring,Austrian Grand Prix,2022-07-10,06:00:00,http://en.wikipedia.org/wiki/2022_Austrian_Grand_Prix
1069,2022,12,Circuit Paul Ricard,French Grand Prix,2022-07-24,06:00:00,http://en.wikipedia.org/wiki/2022_French_Grand_Prix
1070,2022,13,Hungaroring,Hungarian Grand Prix,2022-07-31,06:00:00,http://en.wikipedia.org/wiki/2022_Hungarian_Grand_Prix
1071,2022,14,Circuit de Spa-Francorchamps,Belgian Grand Prix,2022-08-28,06:00:00,http://en.wikipedia.org/wiki/2022_Belgian_Grand_Prix
1072,2022,15,Circuit Park Zandvoort,Dutch Grand Prix,2022-09-04,06:00:00,http://en.wikipedia.org/wiki/2022_Dutch_Grand_Prix
1073,2022,16,Autodromo Nazionale di Monza,Italian Grand Prix,2022-09-11,06:00:00,http://en.wikipedia.org/wiki/2022_Italian_Grand_Prix
1074,2022,17,Marina Bay Street Circuit,Singapore Grand Prix,2022-10-02,06:00:00,http://en.wikipedia.org/wiki/2022_Singapore_Grand_Prix
1075,2022,18,Suzuka Circuit,Japanese Grand Prix,2022-10-09,06:00:00,http://en.wikipedia.org/wiki/2022_Japanese_Grand_Prix
1076,2022,19,Circuit of the Americas,United States Grand Prix,2022-10-23,06:00:00,http://en.wikipedia.org/wiki/2022_United_States_Grand_Prix
1077,2022,20,Autódromo Hermanos Rodríguez,Mexico City Grand Prix,2022-10-30,06:00:00,http://en.wikipedia.org/wiki/2022_Mexican_Grand_Prix
1078,2022,21,Autódromo José Carlos Pace,São Paulo Grand Prix,2022-11-13,06:00:00,http://en.wikipedia.org/wiki/2022_Brazilian_Grand_Prix
1079,2022,22,Yas Marina Circuit,Abu Dhabi Grand Prix,2022-11-20,06:00:00,http://en.wikipedia.org/wiki/2022_Abu_Dhabi_Grand_Prix
1080,2023,1,Bahrain International Circuit,Bahrain Grand Prix,2023-03-05,06:00:00,https://en.wikipedia.org/wiki/2023_Bahrain_Grand_Prix
1081,2023,2,Jeddah Corniche Circuit,Saudi Arabian Grand Prix,2023-03-19,06:00:00,https://en.wikipedia.org/wiki/2023_Saudi_Arabian_Grand_Prix
1082,2023,3,Albert Park Grand Prix Circuit,Australian Grand Prix,2023-04-02,06:00:00,https://en.wikipedia.org/wiki/2023_Australian_Grand_Prix
1083,2023,4,Baku City Circuit,Azerbaijan Grand Prix,2023-04-30,06:00:00,https://en.wikipedia.org/wiki/2023_Azerbaijan_Grand_Prix
1084,2023,5,Miami International Autodrome,Miami Grand Prix,2023-05-07,06:00:00,https://en.wikipedia.org/wiki/2023_Miami_Grand_Prix
1085,2023,6,Circuit de Monaco,Monaco Grand Prix,2023-05-28,06:00:00,https://en.wikipedia.org/wiki/2023_Monaco_Grand_Prix
1086,2023,7,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2023-06-04,06:00:00,https://en.wikipedia.org/wiki/2023_Spanish_Grand_Prix
1087,2023,8,Circuit Gilles Villeneuve,Canadian Grand Prix,2023-06-18,06:00:00,https://en.wikipedia.org/wiki/2023_Canadian_Grand_Prix
1088,2023,9,Red Bull Ring,Austrian Grand Prix,2023-07-02,06:00:00,https://en.wikipedia.org/wiki/2023_Austrian_Grand_Prix
1089,2023,10,Silverstone Circuit,British Grand Prix,2023-07-09,06:00:00,https://en.wikipedia.org/wiki/2023_British_Grand_Prix
1090,2023,11,Hungaroring,Hungarian Grand Prix,2023-07-23,06:00:00,https://en.wikipedia.org/wiki/2023_Hungarian_Grand_Prix
1091,2023,12,Circuit de Spa-Francorchamps,Belgian Grand Prix,2023-07-30,06:00:00,https://en.wikipedia.org/wiki/2023_Belgian_Grand_Prix
1092,2023,13,Circuit Park Zandvoort,Dutch Grand Prix,2023-08-27,06:00:00,https://en.wikipedia.org/wiki/2023_Dutch_Grand_Prix
1093,2023,14,Autodromo Nazionale di Monza,Italian Grand Prix,2023-09-03,06:00:00,https://en.wikipedia.org/wiki/2023_Italian_Grand_Prix
1094,2023,15,Marina Bay Street Circuit,Singapore Grand Prix,2023-09-17,06:00:00,https://en.wikipedia.org/wiki/2023_Singapore_Grand_Prix
1095,2023,16,Suzuka Circuit,Japanese Grand Prix,2023-09-24,06:00:00,https://en.wikipedia.org/wiki/2023_Japanese_Grand_Prix
1096,2023,17,Losail International Circuit,Qatar Grand Prix,2023-10-08,06:00:00,https://en.wikipedia.org/wiki/2023_Qatar_Grand_Prix
1097,2023,18,Circuit of the Americas,United States Grand Prix,2023-10-22,06:00:00,https://en.wikipedia.org/wiki/2023_United_States_Grand_Prix
1098,2023,19,Autódromo Hermanos Rodríguez,Mexico City Grand Prix,2023-10-29,06:00:00,https://en.wikipedia.org/wiki/2023_Mexico_City_Grand_Prix
1099,2023,20,Autódromo José Carlos Pace,São Paulo Grand Prix,2023-11-05,06:00:00,https://en.wikipedia.org/wiki/2023_S%C3%A3o_Paulo_Grand_Prix
1100,2023,21,Las Vegas Strip Street Circuit,Las Vegas Grand Prix,2023-11-19,06:00:00,https://en.wikipedia.org/wiki/2023_Las_Vegas_Grand_Prix
1101,2023,22,Yas Marina Circuit,Abu Dhabi Grand Prix,2023-11-26,06:00:00,https://en.wikipedia.org/wiki/2023_Abu_Dhabi_Grand_Prix
1102,2024,1,Bahrain International Circuit,Bahrain Grand Prix,2024-03-02,06:00:00,https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix
1103,2024,2,Jeddah Corniche Circuit,Saudi Arabian Grand Prix,2024-03-09,06:00:00,https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix
1104,2024,3,Albert Park Grand Prix Circuit,Australian Grand Prix,2024-03-24,06:00:00,https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix
1105,2024,4,Suzuka Circuit,Japanese Grand Prix,2024-04-07,06:00:00,https://en.wikipedia.org/wiki/2024_Japanese_Grand_Prix
1106,2024,5,Shanghai International Circuit,Chinese Grand Prix,2024-04-21,06:00:00,https://en.wikipedia.org/wiki/2024_Chinese_Grand_Prix
1107,2024,6,Miami International Autodrome,Miami Grand Prix,2024-05-05,06:00:00,https://en.wikipedia.org/wiki/2024_Miami_Grand_Prix
1108,2024,7,Autodromo Enzo e Dino Ferrari,Emilia Romagna Grand Prix,2024-05-19,06:00:00,https://en.wikipedia.org/wiki/2024_Emilia_Romagna_Grand_Prix
1109,2024,8,Circuit de Monaco,Monaco Grand Prix,2024-05-26,06:00:00,https://en.wikipedia.org/wiki/2024_Monaco_Grand_Prix
1110,2024,9,Circuit Gilles Villeneuve,Canadian Grand Prix,2024-06-09,06:00:00,https://en.wikipedia.org/wiki/2024_Canadian_Grand_Prix
1111,2024,10,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2024-06-23,06:00:00,https://en.wikipedia.org/wiki/2024_Spanish_Grand_Prix
1112,2024,11,Red Bull Ring,Austrian Grand Prix,2024-06-30,06:00:00,https://en.wikipedia.org/wiki/2024_Austrian_Grand_Prix
1113,2024,12,Silverstone Circuit,British Grand Prix,2024-07-07,06:00:00,https://en.wikipedia.org/wiki/2024_British_Grand_Prix
1114,2024,13,Hungaroring,Hungarian Grand Prix,2024-07-21,06:00:00,https://en.wikipedia.org/wiki/2024_Hungarian_Grand_Prix
1115,2024,14,Circuit de Spa-Francorchamps,Belgian Grand Prix,2024-07-28,06:00:00,https://en.wikipedia.org/wiki/2024_Belgian_Grand_Prix
1116,2024,15,Circuit Park Zandvoort,Dutch Grand Prix,2024-08-25,06:00:00,https://en.wikipedia.org/wiki/2024_Dutch_Grand_Prix
1117,2024,16,Autodromo Nazionale di Monza,Italian Grand Prix,2024-09-01,06:00:00,https://en.wikipedia.org/wiki/2024_Italian_Grand_Prix
1118,2024,17,Baku City Circuit,Azerbaijan Grand Prix,2024-09-15,06:00:00,https://en.wikipedia.org/wiki/2024_Azerbaijan_Grand_Prix
1119,2024,18,Marina Bay Street Circuit,Singapore Grand Prix,2024-09-22,06:00:00,https://en.wikipedia.org/wiki/2024_Singapore_Grand_Prix
1120,2024,19,Circuit of the Americas,United States Grand Prix,2024-10-20,06:00:00,https://en.wikipedia.org/wiki/2024_United_States_Grand_Prix
1121,2024,20,Autódromo Hermanos Rodríguez,Mexico City Grand Prix,2024-10-27,06:00:00,https://en.wikipedia.org/wiki/2024_Mexico_City_Grand_Prix
1122,2024,21,Autódromo José Carlos Pace,São Paulo Grand Prix,2024-11-03,06:00:00,https://en.wikipedia.org/wiki/2024_S%C3%A3o_Paulo_Grand_Prix
1123,2024,22,Las Vegas Strip Street Circuit,Las Vegas Grand Prix,2024-11-23,06:00:00,https://en.wikipedia.org/wiki/2024_Las_Vegas_Grand_Prix
1124,2024,23,Losail International Circuit,Qatar Grand Prix,2024-12-01,06:00:00,https://en.wikipedia.org/wiki/2024_Qatar_Grand_Prix
1125,2024,24,Yas Marina Circuit,Abu Dhabi Grand Prix,2024-12-08,06:00:00,https://en.wikipedia.org/wiki/2024_Abu_Dhabi_Grand_Prix
